ds,Open,High,Low,Close,y,Volume
01-01-1996,3.03,3.03,2.925,2.98,0.595425,350000
02-01-1996,2.98,3.025,2.95,2.975,0.594426,412000
03-01-1996,2.975,2.995,2.95,2.985,0.596424,284000
04-01-1996,2.985,2.98,2.94,2.965,0.592428,282000
05-01-1996,2.965,2.98,2.95,2.96,0.591429,189000
08-01-1996,2.96,2.95,2.91,2.925,0.584436,237000
09-01-1996,2.925,2.925,2.8,2.83,0.565454,483000
10-01-1996,2.83,2.865,2.81,2.84,0.567452,226000
11-01-1996,2.84,2.88,2.8,2.83,0.565454,318000
12-01-1996,2.83,2.835,2.8,2.825,0.564455,431000
15-01-1996,2.825,2.815,2.775,2.79,0.557462,181000
16-01-1996,2.79,2.8,2.74,2.74,0.547471,358000
17-01-1996,2.74,2.795,2.63,2.655,0.530488,429000
18-01-1996,2.655,2.655,2.6,2.64,0.527491,330000
19-01-1996,2.64,2.63,2.535,2.555,0.510507,426000
22-01-1996,2.555,2.59,2.52,2.545,0.508509,359000
23-01-1996,2.545,2.6,2.51,2.53,0.505512,399000
24-01-1996,2.53,2.53,2.45,2.465,0.492524,449000
25-01-1996,2.465,2.45,2.41,2.435,0.48653,390000
26-01-1996,null,null,null,null,null,null
29-01-1996,2.435,2.495,2.395,2.485,0.49652,311000
30-01-1996,2.485,2.55,2.485,2.52,0.503514,452000
31-01-1996,2.52,2.635,2.55,2.59,0.5175,344000
01-02-1996,2.59,2.8,2.6,2.78,0.555463,424000
02-02-1996,2.78,2.995,2.8,2.915,0.582438,819000
05-02-1996,2.915,3.1,2.95,2.995,0.598422,906000
06-02-1996,2.995,3.05,2.95,2.975,0.594426,888000
07-02-1996,2.975,2.925,2.825,2.865,0.572447,586000
08-02-1996,2.865,3.15,2.885,3.045,0.608412,667000
09-02-1996,3.045,3.655,3.35,3.65,0.729296,1720000
12-02-1996,3.65,3.795,3.45,3.51,0.701323,2851000
13-02-1996,3.6,3.6,3.325,3.45,0.689334,1451000
14-02-1996,3.45,3.8,3.59,3.71,0.741284,2464000
15-02-1996,3.71,3.77,3.67,3.685,0.736289,1191000
16-02-1996,3.685,3.675,3.51,3.56,0.711313,1396000
19-02-1996,3.56,3.65,3.5,3.515,0.702322,1297000
20-02-1996,3.515,3.515,3.305,3.365,0.672351,1361000
21-02-1996,null,null,null,null,null,null
22-02-1996,3.365,3.475,3.4,3.425,0.684339,848000
23-02-1996,3.425,3.5,3.4,3.42,0.68334,687000
26-02-1996,3.42,3.475,3.375,3.385,0.676347,647000
27-02-1996,3.39,3.425,3.3,3.395,0.678345,841000
28-02-1996,3.395,3.445,3.305,3.325,0.664358,422000
29-02-1996,3.3,3.3,3,3.065,0.612409,1275000
01-03-1996,3.065,3.15,3,3.11,0.6214,732000
04-03-1996,3.11,3.1,3.05,3.065,0.612409,647000
05-03-1996,null,null,null,null,null,null
06-03-1996,3.065,3.15,3.08,3.1,0.619402,360000
07-03-1996,3.1,3.15,3.025,3.06,0.611409,486000
08-03-1996,3.06,3.07,3,3.05,0.609411,387000
11-03-1996,3.05,3.045,2.975,2.995,0.598422,324000
12-03-1996,2.995,2.995,2.93,2.955,0.59043,400000
13-03-1996,2.955,3.1,3,3.08,0.615406,486000
14-03-1996,3.08,3.15,3.045,3.07,0.613408,529000
15-03-1996,3.1,3.1,3,3,0.599421,807000
18-03-1996,3,3.025,2.93,2.985,0.596424,388000
19-03-1996,2.985,3,2.9,2.955,0.59043,617000
20-03-1996,null,null,null,null,null,null
21-03-1996,2.955,3.015,2.95,3.005,0.60042,643000
22-03-1996,3.005,3.02,2.935,2.995,0.598422,194000
25-03-1996,2.995,3.05,2.98,3.025,0.604416,413000
26-03-1996,3.025,3.08,2.98,3.045,0.608412,643000
27-03-1996,3.045,3.11,3.03,3.1,0.619402,795000
28-03-1996,3.1,3.275,3.13,3.21,0.641381,1124000
29-03-1996,3.21,3.31,3.2,3.245,0.648374,1356000
01-04-1996,3.245,3.3,3.24,3.29,0.657365,963000
02-04-1996,3.29,3.45,3.28,3.4,0.679344,1835000
03-04-1996,3.4,3.6,3.4,3.49,0.697327,2082000
04-04-1996,3.49,3.455,3.35,3.405,0.680343,1134000
05-04-1996,null,null,null,null,null,null
08-04-1996,3.405,3.47,3.41,3.45,0.689334,925000
09-04-1996,3.45,3.46,3.355,3.385,0.676347,1219000
10-04-1996,3.385,3.46,3.24,3.285,0.656366,904000
11-04-1996,3.25,3.34,3.25,3.335,0.666357,631000
12-04-1996,3.335,3.385,3.28,3.35,0.669354,564000
15-04-1996,3.41,3.455,3.375,3.425,0.684339,988000
16-04-1996,3.42,3.435,3.36,3.375,0.674349,783000
17-04-1996,3.375,3.525,3.425,3.505,0.700324,1546000
18-04-1996,3.55,3.695,3.505,3.655,0.730295,2706000
19-04-1996,3.7,4.025,3.625,3.845,0.768258,6350000
22-04-1996,4,4.1,3.705,3.77,0.753273,5643000
23-04-1996,3.77,3.79,3.63,3.71,0.741284,3214000
24-04-1996,3.895,4.05,3.8,3.845,0.768258,5343000
25-04-1996,3.9,3.9,3.61,3.685,0.736289,3333000
26-04-1996,3.685,3.795,3.625,3.7,0.739286,2039000
29-04-1996,3.7,3.735,3.64,3.685,0.736289,1350000
30-04-1996,3.685,3.7,3.505,3.545,0.708316,2701000
01-05-1996,3.545,3.775,3.61,3.625,0.7243,1662000
02-05-1996,3.68,3.68,3.545,3.565,0.712312,1170000
03-05-1996,3.565,3.57,3.49,3.5,0.699325,1779000
06-05-1996,3.5,3.5,3.35,3.38,0.675348,1360000
07-05-1996,3.38,3.44,3.35,3.415,0.682341,1821000
08-05-1996,3.2,3.5,3.2,3.485,0.696327,1617000
09-05-1996,3.485,3.495,3.38,3.405,0.680343,1115000
10-05-1996,3.405,3.395,3.24,3.385,0.676347,1371000
13-05-1996,3.385,3.425,3.35,3.42,0.68334,712000
14-05-1996,3.485,3.485,3.375,3.425,0.684339,1192000
15-05-1996,3.425,3.5,3.4,3.48,0.695328,1608000
16-05-1996,3.48,3.67,3.515,3.575,0.71431,2671000
17-05-1996,3.55,3.55,3.475,3.53,0.705319,1385000
20-05-1996,3.475,3.48,3.4,3.405,0.680343,933000
21-05-1996,3.4,3.4,3.325,3.335,0.666357,1644000
22-05-1996,3.335,3.42,3.37,3.375,0.674349,645000
23-05-1996,3.4,3.4,3.335,3.35,0.669354,361000
24-05-1996,3.35,3.4,3.35,3.385,0.676347,473000
27-05-1996,3.385,3.385,3.325,3.34,0.667355,1362000
